host_response_time,room_type,host_response_rate,host_acceptance_rate,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_len,neighborhood_overview_len,host_verifications_len,has_wifi,has_pool,has_kitchen,has_washer,has_dryer,has_ac,has_self_checkin,has_workspace,has_pet_allowed,has_free_parking,desc_1,desc_2,desc_3,desc_4,desc_5,n_1,n_2,n_3,target
1.0,1,100.0,85.0,1.0,1.0,1.0,6,1,2,2,3,29,56,15,1,1,1,4,3,2,2,0,1,1,0,0,0.51,33,1000.0,9,1,0,1,1,0,1,0,0,0,1,0.22933043055193397,0.011372758891876791,-0.02336605440527634,0.03372433941605246,-0.07313469664297122,0.44910135608893964,0.1618171135439317,-0.09687656201879122,2
1.0,1,100.0,60.0,2.0,1.0,1.0,6,2,2,4,30,365,2,1,1,4,4,4,1,4,1,0,2,2,0,0,0.04,25,0.0,4,1,1,1,1,1,1,0,0,0,1,0.29091080625409516,-0.061544436637629034,0.01952369314822523,-0.054612440096823874,0.021380774976518777,0.0,0.0,0.0,2
2.0,1,100.0,92.0,9.0,1.0,1.0,5,1,2,3,7,180,20,0,2,2,2,2,2,1,3,0,8,8,0,0,0.16,29,0.0,4,1,1,1,1,1,1,0,0,0,1,0.2511502840412692,-0.13118035938031936,-0.059849243222638945,0.0015451114490317361,0.013333720290956004,0.0,0.0,0.0,1
3.0,1,83.0,0.0,3.0,1.0,1.0,5,2,3,3,4,180,5,0,4,4,4,4,4,1,4,0,1,1,0,0,0.04,20,183.0,8,1,1,1,1,1,1,0,0,0,1,0.1970776748633602,-0.06215617098521217,-0.00201765206042023,-0.021966377789518737,-0.08051540466593057,0.07517794668441811,-0.04227181380508591,-0.006417942417656546,1
2.0,1,76.0,26.0,13.0,1.0,1.0,7,2,2,3,14,1825,18,3,1,2,1,1,4,1,1,0,6,6,0,0,0.14,35,0.0,8,1,1,1,1,1,1,0,0,0,1,0.43951748182917777,-0.09505441914727175,-0.07064856560373087,0.17794626303274927,-0.012980403820529465,0.0,0.0,0.0,2
2.0,1,76.0,26.0,13.0,1.0,1.0,5,1,1,2,10,365,25,1,1,1,1,1,1,1,1,0,6,6,0,0,0.2,35,0.0,8,1,1,1,1,1,1,0,0,0,1,0.48802443945882534,-0.11172154459817092,-0.07076114948806157,0.2083421199915448,-0.009555356508482719,0.0,0.0,0.0,1
1.0,2,100.0,93.0,1.0,1.0,1.0,1,1,1,1,7,1125,60,5,3,3,3,3,4,3,4,0,1,0,1,0,0.64,36,0.0,4,1,1,1,1,1,1,0,0,0,1,0.2611335823845149,0.04538583260192326,0.003960385122978993,0.020597369461822584,-0.0873595030242292,0.0,0.0,0.0,2
3.0,1,100.0,0.0,2.0,1.0,0.0,4,1,1,2,2,180,25,0,1,1,1,2,2,2,1,0,1,1,0,0,0.21,34,0.0,3,1,0,1,1,1,1,0,0,0,1,0.25666535183287364,-0.052118468501262866,-0.026509681146519123,0.008950633439027897,-0.04764586820083222,0.0,0.0,0.0,0
2.0,1,100.0,96.0,1.0,1.0,1.0,10,3,4,5,2,21,74,25,2,2,2,2,1,1,2,0,1,1,0,0,0.61,50,401.0,6,1,1,1,1,1,1,0,0,0,1,0.2715494782964787,-0.06697308823447272,-0.028025106586811337,0.05509853416960671,-0.03634333356652596,0.28407812712733105,0.07176782260477658,-0.05697842655876175,1
2.0,1,76.0,26.0,13.0,1.0,1.0,5,1,1,1,10,365,18,0,3,2,2,4,4,2,3,0,6,6,0,0,0.15,23,0.0,8,1,1,1,1,1,1,0,0,0,1,0.403412822700563,-0.09406155209262629,-0.06270128766601353,0.13435758351636184,0.01690930978632153,0.0,0.0,0.0,2
