neighbourhood_group,neighbourhood
Hawaii,Hamakua
Hawaii,Kau
Hawaii,North Hilo
Hawaii,North Kohala
Hawaii,North Kona
Hawaii,Puna
Hawaii,South Hilo
Hawaii,South Kohala
Hawaii,South Kona
Honolulu,Central Oahu
Honolulu,East Honolulu
Honolulu,Ewa
Honolulu,Koolauloa
Honolulu,Koolaupoko
Honolulu,North Shore Oahu
Honolulu,Primary Urban Center
Honolulu,Waianae
Kauai,Hanapepe-Eleele
Kauai,Kapaa-Wailua
Kauai,Koloa-Poipu
Kauai,Lihue
Kauai,North Shore Kauai
Kauai,Waimea-Kekaha
Maui,Hana
Maui,Kahoolawe
Maui,Kihei-Makena
Maui,Lahaina
Maui,Lanai
Maui,Makawao-Pukalani-Kula
Maui,Molokai
Maui,Paia-Haiku
Maui,Wailuku-Kahului
